symbol,time,price,upperBand,lowerBand,bandWidth,rsi,upperSlope,realSlope,lowerSlope,upperI,realI,lowerI,action
MU,2020-05-13 00:50:48.516390,46.31999969482422,49.21230609461283,44.4076951260903,0.1660283318251847,48.56192581599012,0.05863075563079264,0.1045638696471257,-0.014532525012645445,49.1718483232966,46.79674142865992,41.93522899913665,hold
SPG,2020-05-13 00:50:53.650987,55.34000015258789,67.36473868946842,53.337261737777666,0.3362300273694454,39.18905076667319,-0.5636652065701275,-0.2546268861685227,-0.026401939503398704,71.41202324340082,56.94895610524647,48.266365403422434,hold
PENN,2020-05-13 00:50:58.677280,18.25,19.247960546099748,15.271039316571148,0.4908110592604818,64.83543343323473,0.2712150834316527,0.2931342623127041,-0.007991201923665484,17.922319089921185,17.03522420285353,11.892053997605961,hold
GE,2020-05-13 00:51:04.023580,6.054999828338623,6.657631010106072,5.926369005152718,0.15044217649305575,34.0967769147758,-0.05581032987359851,0.00820892960277956,0.0016163025991963922,7.2065609351709545,6.102014997112217,5.915282353022932,hold
HON,2020-05-13 00:51:09.240293,129.5399932861328,142.99509891171869,129.39689632753914,0.11642498833612695,26.92138880005598,-0.2091505190495832,-0.4184325488645639,-0.17629721937013665,145.1595588520989,134.47760784092236,129.512691946824,hold
ZM,2020-05-13 00:51:13.615372,163.25999450683594,164.889459068707,135.31853958851954,0.23656418494506182,51.90655929991926,0.1414075742926282,2.2938799502244636,1.6775250699963056,168.54416421458305,152.08313284347307,125.24422422271653,hold
V,2020-05-13 00:51:18.441920,182.07000732421875,184.8498802424626,175.7231178044124,0.17470227487439077,54.21677314370872,0.8503603952458392,0.33462638285622676,-0.19063677746439245,183.64064605384985,181.51104417487755,159.31672742573716,hold
SBUX,2020-05-13 00:51:23.552359,75.44000244140625,77.80781756511126,71.75390271076765,0.1086900946733346,30.296930509565087,0.08960208479758253,0.2270904654887186,0.1535111055829127,78.56296014550765,74.91014736801831,69.97508741727657,hold
PG,2020-05-13 00:51:29.096072,115.32499694824219,118.01807187635434,113.06192690294255,0.08973709900016087,33.33134626179192,-0.024450371761233634,0.4244774206360775,-0.018148512024185014,123.05585582048975,113.1824608418479,112.42360583804494,not in portfolio
PNC,2020-05-13 00:51:34.065633,100.7300033569336,108.22628429863052,97.70971576240463,0.17683068780812924,33.504940639254116,0.05090324163415112,0.18112000422691232,0.06971042586818096,109.98291117554443,101.02686514783261,91.87897840457013,hold
GRUB,2020-05-13 00:51:39.652567,63.72999954223633,56.61352163586889,41.032479798457274,0.43323283489771564,79.73144120008375,0.6747612087910647,1.7273133121319673,-0.22794032909682235,49.546182024822585,45.77552300068869,38.60252023224839,not in portfolio
C,2020-05-13 00:51:44.682921,43.20000076293945,48.429034475562,42.28239512038527,0.21060720820452214,24.85101877496089,-0.05413926107329198,-0.0917162539354011,-0.010659871202644083,49.24632786969858,44.493805785677324,39.70394759129904,hold
VTIQ,2020-05-13 00:51:50.437663,27.049999237060547,22.319457360137807,9.366542510162486,1.0108650290855041,77.13784534921857,1.0205658622370668,2.035596790598399,-0.5360136460630692,13.772604976272977,12.694328848995383,11.14764876884877,not in portfolio
JD,2020-05-13 00:51:55.845918,47.98500061035156,47.45696481017211,41.2890343353357,0.15227055669054132,42.05160116110537,0.16755267719343114,0.6382093571904881,0.07789511645399327,46.95441868430917,44.122013433655695,40.99182763080714,hold
QDEL,2020-05-13 00:52:01.469960,188.36000061035156,189.7913701635223,120.17263130132146,0.7464300818160615,62.87869367421996,5.491814092014235,9.73246286876166,-0.5037992559164032,154.3048257922166,143.0891033571158,88.94853445503955,hold
TSLA,2020-05-13 00:52:06.583004,820.3099975585938,832.87583701063,732.4741629893699,0.20214485140791427,52.90671396368614,-2.4585878693348757,6.013945166744403,13.661003267320545,846.0822882658148,786.024930583897,611.5817542838879,hold
